CRD_14DDFE1E600A4BAF8E70|SR|JP|4978|4966|13367|13365
CRD_14EB3BE3034D40278311|CHR|JP|6950|7060|20619|20509
CRD_1507A5C6549C48B1936B|SR|JP|2187|2182|5872|5871
CRD_1549CC7E9EFC44D08FD4|HR|EN|27191|27184|305874|305874
CRD_1550F9965A5248E99C97|RR|EN|1433|1080|7968|7968
CRD_155AE57C6FB44BEF894F|RR|EN|250|190|1548|1487
CRD_156303A10AC3422083AA|RRR|JP|413|370|1077|1077
CRD_1573232461C14F27B212|SR|JP|3170|3140|8451|8450
CRD_157F33DF43A34D268793|AR|EN|30253|28350|356159|357155
CRD_1589922DA5104539AFF5|CSR|EN|75180|34920|326952|327984
CRD_15AD6DF96106438BA899|PR|JP|4281|4280|50073|50060
CRD_15F12748F61F45C7853E|RR|JP|10152|8250|30332|30324
CRD_15F5F5A58D814B10953B|RR|EN|5934|4490|32989|32989
CRD_15FD761C7E9D47358044|RR|EN|180|140|6843|7024
CRD_1628769382AC47C581EB|SR|JP|18692|18647|50191|50181
CRD_16371A443973483F81FA|RR|JP|14388|11690|42984|42976
CRD_1640B082EE3340AAB612|RR|JP|1671|1360|4992|4991
CRD_1645BF1E84C74BFFBE20|SR|EN|1860|2010|19163|18810
CRD_1647486130EF4A25940C|RR|JP|315|260|941|941
CRD_164F19FE7E4746EEA25C|RR|EN|160|100|1009|1009
CRD_1651730F93C4413BA4C5|AR|EN|1250|1150|13170|13107
CRD_16552890B7E640BD9726|SR|JP|1091|1088|2928|2928
CRD_168A21AE1367433791FA|SR|JP|15316|15312|195346|195310
CRD_1696ABBCC85248FD81F5|RR|EN|5910|4150|36353|36347
CRD_16CF32D4C1234DB68301|SR|JP|1428|1427|18207|18204
CRD_16D569A705C64B95885E|SR|EN|4285|4284|32132|32132
CRD_16D77C3BD5F547639930|HR|JP|6340|7530|19599|19599
CRD_16DBDADB6156412A924A|SR|EN|1170|1260|6439|6439
CRD_16E2995DF023409E852F|RR|JP|2026|1650|6054|6053
CRD_16E335392D60451C9EA2|RR|JP|2483|2020|7418|7418
CRD_16F1D3F4F75B4E8580A6|AR|JP|1040|1030|3853|3868
CRD_16FAD83BCF8E45DD9103|RR|JP|203|170|607|607
CRD_170047638AA24C9D8581|PR|JP|414|414|4840|4839
CRD_170C21DF603D41EABA47|AR|JP|4980|4560|17160|17157
CRD_1719064C4D5A4530B4C4|AR|EN|1070|1000|12296|12296
CRD_1727697B0064422BAEE6|AR|EN|8400|7400|154911|157446
CRD_1735A196292E42369E03|RR|EN|3070|2320|17068|17068
CRD_174D03650DD04FAB90ED|PR|EN|1335|1334|4099|4099
CRD_1752B1022AD74CC0AF24|SR|EN|11035|11032|12434|12434
CRD_17623798AB744107AD98|AR|EN|2020|1880|24519|24818
CRD_176BE23510B840A2A394|RR|EN|362220|357883|2036362|1998229
CRD_1778B01FA4AD4332B4C8|SR|JP|3532|3540|9484|9527
CRD_1781CCF24CA84BC3B847|AR|EN|1110|1120|9054|9054
CRD_17916E8A74A842A69743|SR|EN|3006|3005|22543|22543
CRD_17AEC6F70C054074BFD4|AR|EN|3700|3580|28464|28140
CRD_17B76AFFA5794001AF52|RR|EN|4283|3220|23836|23680
CRD_17C83FF85F944764957F|AR|EN|1400|1280|19785|20221
CRD_17CAF561E8804762B993|HR|JP|2450|2910|7571|7570
CRD_17CEDC815C264A69A345|SR|JP|2317|2311|6221|6220
CRD_17E681D70E484304B6B8|RR|EN|180|130|910|850
CRD_17EF823FA3CB4B2B8EE4|SR|EN|9065|9062|91365|91365
CRD_1806774875564E268E6E|HR|JP|2440|2900|7556|7555
CRD_1832978663324026BBAD|AR|EN|6440|5970|63330|63713
CRD_184AC847FEF045F0A5C3|SR|EN|32806|32566|36672|36407
CRD_185DE08656684E7AA355|SR|EN|25091|25085|252897|252897
CRD_186B68241588428C9410|SR|JP|8327|8325|106208|106188
CRD_187E76533B5540179493|RR|EN|2750|1920|17752|17749
CRD_18CD5427946D4525B172|UR|JP|12659|12131|26749|26744
CRD_18D57DF71D81408584B5|SR|JP|8768|8766|130444|130444
CRD_18ECEF4F4F6B4E32805A|RR|JP|1605|1300|4794|4794
CRD_190E3B946C714D6CBFCD|SAR|JP|12970|13340|55081|56628
CRD_19171E29E9D34C17A9BF|RR|EN|1440|1020|8641|8641
CRD_19B52BB682954C4DB699|RR|JP|3845|3170|11486|11635
CRD_19C1275E8DF647B286BD|RR|EN|160|120|1040|1040
CRD_19F51F8288034A4781BC|AR|JP|1880|1810|6570|6811
CRD_19FA15073BE646958D35|RR|JP|1691|1370|5052|5052
CRD_1A2040BEE94E4AB1AFAE|AR|JP|1400|1170|4901|4399
CRD_1A2192604CAF4EA98918|SR|EN|33730|35157|354447|354447
CRD_1A2B7E3263BE4E328E23|AR|EN|2710|2520|33546|33404
CRD_1A35479E220A4BB7AE4E|RR|JP|2641|2150|7890|7888
CRD_1A707D9E2FC6416F96A5|SR|JP|820|820|2519|2518
CRD_1A7C81EF49754D76B049|PR|JP|480|480|5614|5613
CRD_1A815E05CDFE482484A2|SR|JP|29890|29882|381224|381154
