CRD_2D84D1DA75FF4868B015|말리화|8455
CRD_2DB11712502240BA802B|솔가레오&루나아라 GX|6380
CRD_2F0ED241ED394BF6BF87|아이앤트 ex|110
CRD_2F4B432C1AE74911BACC|빙마 칼레오스 VMAX|3420
CRD_2FABCAF7B31F4346915C|코고미|3730
CRD_2FE394C852394D129604|나몰빼미|1380
CRD_300C6F0A10AF4D768DAB|깜눈크|2460
CRD_308148D51D5845769B01|아이앤트 ex|9260
CRD_2EDC5DADC4F24ECD976A|팔데아 토오 ex|170
CRD_2F3643AC21E84F689C43|쉐이미 EX|3640
CRD_2FCEBFB496E94F0CB99B|무한다이노 V|2010
CRD_2FDCD42F1BBC4E4BAD11|석탄산 V|260
CRD_0422D05B3FF54A3F9FB8|파라솔 아가씨|15280
CRD_2E4CD75454EB4A199A90|마기라스 V|95182
CRD_2F0219577D244E019E99|레시라무 GX|890
CRD_30A6CD03B29E4EAFA1C2|로켓단의 니로우|1730
CRD_31985982AAFB4AECA49A|레쿠쟈 VMAX|42160
CRD_31587FB56FBD49B593F1|피오네|2040
CRD_318B01AFB53C42318601|더시마사리 GX|1165
CRD_30EDC0F1FD7B46A58FDE|춤추새 GX|867
CRD_244EB50258FC45D58BB7|이브이 ex|660
CRD_30975550ADDC4EA8A667|부스터 V|27430
CRD_31207730A1244D4BA676|멜메탈 ex|210
CRD_31940B3434F54CAB8CAB|이노|1979
CRD_31E2B98699A1410FBAC9|브라이어|1088
CRD_32082DD1A5DE41889046|이야후 ex|90
CRD_321E17A2C21747AAB24E|복숭악동 ex|100
CRD_32386B204F0740378DD5|너트령|900
CRD_325D356041B348968F5A|칼라마네로 EX|890
CRD_326058E0F4514E8083F0|글레이시아 GX|2890
CRD_326BB4D3A84B467EB968|라티아스 ex|107810
CRD_32B748391B31457F884D|난천&카틀레야|17384
CRD_32E8DC4B424E4966B6CB|쁘사이저|1820
CRD_32E8F32B11894AB188C1|플루메리|3272
CRD_33785863B77A4D888CC5|루카리오&멜메탈 GX|3991
CRD_331B23CD1B3542C09584|피카츄&제크로무 GX|34130
CRD_331BADEFF9654B599D78|저지맨|420
CRD_34D1A571966643B9B808|가라르 불비달마 VMAX|540
CRD_34B94E323039433886E9|애프룡|1110
CRD_34FC12FEB9C94EC0B729|크레세리아|2400
CRD_33A7A42687184DCAA53F|푸크린 ex|1910
CRD_3446ADE0F7424C998BED|엘풍 GX|520
CRD_34771CA932624EF8993A|독침붕 V|23405
CRD_34BFCA1006BC49D89AF5|잉어킹&고래왕 GX|11320
CRD_3C0A4BD7A21440D38FB0|M가디안 EX|18981
CRD_1806774875564E268E6E|옐단의 조무래기|2900
CRD_11E419D20A2A499FAFC6|바우첼 ex|20190
CRD_36360E53452543DEB82B|고릴타 VMAX|4070
CRD_25909EEE9FBE41E08266|에이스번 VMAX|7500
CRD_354A9964DECF45BEBE57|악뜨거|1720
CRD_0EA9A767E8E64BC7B5D3|소니아|7540
CRD_C9F99666A3067F779469|라티아스&라티오스 GX|5948
CRD_3556A9DD9F2149C5BF0C|따라큐 V|21130
CRD_AF8736ECE64947D5A57B|고릴타|3947
CRD_359332F027204F0997A9|펄스멍 V|650
CRD_36FC9D7A34B947999101|기라티나 EX|12743
CRD_364F4FE8048A4DC09AA0|흑마 버드렉스 V|13800
CRD_379A5BE80E2245808B5C|히스이 붐볼 V|160
CRD_37AEC383935947D497E1|라우드본 ex|823
CRD_3575DCCD78834B1E8D87|실버디 GX|3423
CRD_367674FDDC443996584B85A2030A01A3|판쵸 피카츄 (가라도스)|
CRD_35A856F18BEB432BABEC|멜로코|1843
CRD_36B9B397B19A425CB729|리자몽 VSTAR|3450
CRD_36D39DBAA5EC4EE09001|후딘 ex|2790
CRD_382ECC8BA6034DAF9178|뮤츠 VSTAR|16040
CRD_39A9FDACFF514F29B347|울트라네크로즈마 GX|2140
CRD_3A1614A1D6F443708387|수댕이|22640
CRD_3B93462476FF4AC1B6AE|투로박사의 시나리오|2670
CRD_3BF8865058D243DC9DBF|플라이곤 GX|772
CRD_B8B3074785EC350DEB26|라티아스&라티오스 GX|390230
CRD_3A0BD9F6AF5141DC9961|고동치는달 ex|120
CRD_38C95B5BCA84434CADBB|나무킹 EX|4048
CRD_38F8D1BD378046E49339|카푸꼬꼬꼭 V|190
CRD_3927C712A40B4469A53E|이올브 VMAX|960
CRD_39A2F0B42FC5405188AA|보스의 지령(비주기)|37746
CRD_3A163A0976E24CE79D88|단델|5851
CRD_3AEB0958DF704E919E03|M야도란 EX|2676
CRD_3B0AA576F162446CAD28|전룡 EX|1800
CRD_3B5CF3B55F8242899616|코치 트레이너|1158
CRD_3B9DA71B112D43DAA326|다크펫 GX|5360
CRD_3BB0CBC7ABDE40CC8213|알로라고지 GX|5220
CRD_550D287466E74BD49C99|드래펄트 VMAX|6990
CRD_3C062CAF599948F7BA44|난천의 패기|17722
CRD_3CF2CAAC6C6843768D3B|히스이 드레디어 V|240
CRD_3D1314647FED4C4BB1D1|루가루암 GX|930
CRD_3D1DDFE22E46497299FE|에써르 V|610
CRD_3D5EDF548DF943ACAADD|데덴네 GX|2010
CRD_3D9C68A514C54A7A8160|코라이돈 ex|120
CRD_3DA9FF90C36043F5AFDC|코바르온 ex|90
CRD_3E05F7873B1A4A2388BA|레돔벌레|690
CRD_3E28C08144174CFC8121|수풀부기|2510
CRD_3E39B2A60D644D419C7A|자마젠타|930
CRD_3E4E6014D8C14643B6EE|한카리아스&기라티나 GX|5440
CRD_3EC2D5FC5CD94A18B44E|메타몽 VMAX|6680
CRD_3EB598DB6DD6410AAE57|베베솔트|870
CRD_3EE555CE8FCD4C4CA1C9|피카츄|26770
CRD_3E9E5C6840D049589B84|모란|2768
CRD_06D78B5B12AC4475BDA5|돌헨진 VMAX|6230
CRD_0FFEF15EE9E045CABE6F|연격 우라오스 VMAX|41945
CRD_3F0CF7904DE24591A85C|네크로즈마 GX|1188
CRD_4549B35197074BE18BA7|우락고래 ex|1251
CRD_3E7EFB8B95774E57AD88|찌리배리 ex|1510
CRD_3F1A4E09C8E142A29BCF|맛보돈|2270
CRD_4DFC063703184E429E4F|가디안 VMAX|9240
CRD_3F47FE910E9D4632AC13|키키링|1030
CRD_3F76B4D8B9814F63AA83|샤미드 V|28120
CRD_3E81540BBE5B4EF2A89E|오르티가|518
CRD_3E8A50AC63BE422598F2|전툴라|2290
CRD_0161FB6AE117410F872F|M거북왕 EX|13140
