series,ko_set,ko_name,ko_rarity,ko_no,type,jp_ref,jp_status,code
sv3_ja,스칼렛&바이올렛 확장팩 「흑염의 지배자」,부르르룸 ex,SAR,135,1진화 포켓몬,sv3_ja-135,CONFIRMED,BS2023015135
sv3a_ja,스칼렛&바이올렛 강화 확장팩 「레이징서프」,타부자고 ex,RR,050,1진화 포켓몬,,NEEDS_MATCH,BS2023020050
sv3a_ja,스칼렛&바이올렛 강화 확장팩 「레이징서프」,타부자고 ex,SR,079,1진화 포켓몬,sv3a_ja-79,CONFIRMED,BS2023020079
sv3a_ja,스칼렛&바이올렛 강화 확장팩 「레이징서프」,타부자고 ex,SAR,087,1진화 포켓몬,sv3a_ja-87,CONFIRMED,BS2023020087
sv4k_ja,스칼렛&바이올렛 확장팩 「고대의 포효」,비조도,AR,072,1진화 포켓몬,sv4k_ja-72,CONFIRMED,BS2023021072
sv4k_ja,스칼렛&바이올렛 확장팩 「고대의 포효」,더스트나,AR,075,1진화 포켓몬,sv4k_ja-75,CONFIRMED,BS2023021075
sv4m_ja,스칼렛&바이올렛 확장팩 「미래의 일섬」,폴리곤Z,AR,077,2진화 포켓몬,sv4m_ja-77,CONFIRMED,BS2023022077
swsh8b_ja,소드&실드 하이클래스팩 「VMAX 클라이맥스」,번치코 V,RR,019,기본 포켓몬,,NEEDS_MATCH,BS2022001019
swsh8b_ja,소드&실드 하이클래스팩 「VMAX 클라이맥스」,가라르 썬더 V,RR,084,기본 포켓몬,,NEEDS_MATCH,BS2022001084
swsh8b_ja,소드&실드 하이클래스팩 「VMAX 클라이맥스」,블래키 V,RR,100,기본 포켓몬,,NEEDS_MATCH,BS2022001100
swsh8b_ja,소드&실드 하이클래스팩 「VMAX 클라이맥스」,아머까오 V,RR,115,기본 포켓몬,,NEEDS_MATCH,BS2022001115
swsh8b_ja,소드&실드 하이클래스팩 「VMAX 클라이맥스」,자마젠타 V,RR,118,기본 포켓몬,,NEEDS_MATCH,BS2022001118
swsh8b_ja,소드&실드 하이클래스팩 「VMAX 클라이맥스」,레쿠쟈 V,RR,119,기본 포켓몬,,NEEDS_MATCH,BS2022001119
swsh8b_ja,소드&실드 하이클래스팩 「VMAX 클라이맥스」,레쿠쟈 VMAX,RRR,120,V진화,swsh8b_ja-120,CONFIRMED,BS2022001120
swsh8b_ja,소드&실드 하이클래스팩 「VMAX 클라이맥스」,두랄루돈 VMAX,RRR,123,V진화,swsh8b_ja-123,CONFIRMED,BS2022001123
swsh8b_ja,소드&실드 하이클래스팩 「VMAX 클라이맥스」,해피너스 V,RR,127,기본 포켓몬,,NEEDS_MATCH,BS2022001127
swsh8b_ja,소드&실드 하이클래스팩 「VMAX 클라이맥스」,가디안,CHR,196,2진화 포켓몬,swsh8b_ja-196,CONFIRMED,BS2022001196
swsh8b_ja,소드&실드 하이클래스팩 「VMAX 클라이맥스」,야느와르몽,CHR,198,2진화 포켓몬,swsh8b_ja-198,CONFIRMED,BS2022001198
swsh8b_ja,소드&실드 하이클래스팩 「VMAX 클라이맥스」,마휘핑,CHR,201,1진화 포켓몬,swsh8b_ja-201,CONFIRMED,BS2022001201
