card_id,name,official_card_code,product_id,collection_number,rarity_code,language,super_type,jp_scrydex_ref,en_scrydex_ref
CRD_55BE769CC493490B9696,음번 GX,BS2019002241,PRD_F0B2C76547E5479F8E65,241/150,SSR,KO,POKEMON,sm8b_ja-241,sma-SV78
CRD_55835D4F7A5A4F3BA60D,래비풋,BS2020016215,PRD_595A32AA23664B6ABD92,215/190,S,KO,POKEMON,swsh4a_ja-215,swsh45sv-SV016
CRD_561FF374668A4C52B7A9,루나아라 GX,BS2017002028,PRD_A7690D997FD6483B8C54,028/060,RR,KO,POKEMON,sm1m_ja-28,sm1-66
CRD_5667330F7AAF41858B63,윽우지 V,BS2020016155,PRD_595A32AA23664B6ABD92,155/190,RR,KO,POKEMON,swsh4a_ja-155,swsh45-54
CRD_5668BB43C6824C25B7FB,대로트&야느와르몽 GX,BS2019017053,PRD_C50AF6B22D9843F5B112,053/173,RR,KO,POKEMON,sm12a_ja-53,smp-SM217
CRD_567E3EA66DF544DA9814,수련의 돌봄,BS2024007093,PRD_965FA5E5CD004C97AE74,093/066,SAR,KO,TRAINER,sv5a_ja-93,sv6-219
CRD_568ACA1A12854172B6CD,망망이,BS2023007087,PRD_5AD4DD681C694EAC8DDA,087/078,AR,KO,POKEMON,sv1v_ja-87,sv1-214
CRD_56A35E064F464D32B8D7,M이상해꽃 EX,BS2014001002,PRD_53EB7B68B0224C239C02,002/060,RR,KO,POKEMON,xy1x_ja-2,xy1-2
CRD_56AEEC243AFF49348A6E,대왕끼리동 ex,BS2023011054,PRD_514C148400944D8AA72F,054/071,RR,KO,POKEMON,sv2p_ja-54,sv2-150
CRD_56BC4E58C5934A90B2F1,버터플 VMAX,BS2020010002,PRD_9C4063C50B5B45C09FF9,002/070,RRR,KO,POKEMON,swsh2a_ja-2,swsh3-2
CRD_56CD73E3F5C544A2B1AD,히스이 드레디어 VSTAR,BS2022007008,PRD_A34AF524E977421D94D7,008/067,RRR,KO,POKEMON,swsh10d_ja-8,swsh10-18
CRD_56CE5AE045504777AAE8,미라이돈 ex,BS2026001284,PRD_6F0F228947EF48919808,284/742,RR,KO,POKEMON,NO_JP,me2pt5-73
CRD_572C9B22477A47FB9AEB,금랑,BS2021008077,PRD_BCB8045CC957488BB992,077/067,SR,KO,TRAINER,swsh7d_ja-77,swsh7-202
CRD_576DC2D934294498A93F,캐스퐁,BS2022001211,PRD_767E549F894445C98D52,211/184,CHR,KO,POKEMON,swsh8b_ja-211,swsh11tg-TG11
CRD_578FDAA332FD4381BC35,다크펫,BS2022001197,PRD_767E549F894445C98D52,197/184,CHR,KO,POKEMON,swsh8b_ja-197,swsh11tg-TG07
CRD_58CA4FCBE74947989A92,엘레이드 V,BS2022011130,PRD_554AB5D7D5A440D0AA2A,081/071,SR,KO,POKEMON,swsh10a_ja-81,swsh11-181
