code,ko_name,jp_ref,en_ref,ko_url,jp_url,en_url,ko_status,jp_status,en_status,ko_ct,jp_ct,en_ct,ko_size,jp_size,en_size,ko_dim,jp_dim,en_dim,ko_decode,jp_decode,en_decode,ko_jp,ko_en,jp_en,crosslang,result
BS2024016089,알로라 나시 ex,sv7a_ja-89,sv8-242,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV7a/SV7a_089.png?w=512,https://images.scrydex.com/pokemon/sv7a_ja-89/medium,https://images.scrydex.com/pokemon/sv8-242/medium,200,200,200,image/png,image/png,image/png,951069,140206,128879,512x714,362x512,367x512,OK,OK,OK,0.896,0.953,0.917,OK,PASS
BS2024016092,알로라 나시 ex,sv7a_ja-92,sv8-248,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV7a/SV7a_092.png?w=512,https://images.scrydex.com/pokemon/sv7a_ja-92/medium,https://images.scrydex.com/pokemon/sv8-248/medium,200,200,200,image/png,image/png,image/png,925315,144324,107765,512x714,362x512,367x512,OK,OK,OK,0.833,0.85,0.879,OK,PASS
BS2024019222,날뛰는우레 ex,sv8a_ja-222,sv8pt5-166,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV8a/SV8a_222.png?w=512,https://images.scrydex.com/pokemon/sv8a_ja-222/medium,https://images.scrydex.com/pokemon/sv8pt5-166/medium,200,200,200,image/png,image/png,image/png,919482,140524,116713,512x714,367x512,367x512,OK,OK,OK,0.881,0.894,0.953,OK,PASS
BS2023007089,떨구새,sv1v_ja-89,sv1-219,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV1V/SV1V_089.png?w=512,https://images.scrydex.com/pokemon/sv1v_ja-89/medium,https://images.scrydex.com/pokemon/sv1-219/medium,200,200,200,image/png,image/png,image/png,732610,111428,117384,512x714,365x512,367x512,OK,OK,OK,0.98,0.962,0.967,OK,PASS
BS2023010075,나오하,sv1a_ja-75,sv2-196,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV1a/SV1a_075.png?w=512,https://images.scrydex.com/pokemon/sv1a_ja-75/medium,https://images.scrydex.com/pokemon/sv2-196/medium,200,200,200,image/png,image/png,image/png,754414,132778,134752,512x714,365x512,367x510,OK,OK,OK,0.958,0.941,0.944,OK,PASS
BS2023011089,시비꼬 ex,sv2p_ja-89,sv2-247,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV2P/SV2P_089.png?w=512,https://images.scrydex.com/pokemon/sv2p_ja-89/medium,https://images.scrydex.com/pokemon/sv2-247/medium,200,200,200,image/png,image/png,image/png,725785,119587,97154,512x714,365x512,367x510,OK,OK,OK,0.902,0.888,0.919,OK,PASS
BS2023012080,태깅구르,sv2d_ja-80,sv2-223,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV2D/SV2D_080.png?w=512,https://images.scrydex.com/pokemon/sv2d_ja-80/medium,https://images.scrydex.com/pokemon/sv2-223/medium,200,200,200,image/png,image/png,image/png,628707,108082,115669,512x714,365x512,367x510,OK,OK,OK,0.939,0.944,0.96,OK,PASS
BS2023015127,부르르룸 ex,sv3_ja-127,sv3-216,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV3/SV3_127.png?w=512,https://images.scrydex.com/pokemon/sv3_ja-127/medium,https://images.scrydex.com/pokemon/sv3-216/medium,200,200,200,image/png,image/png,image/png,770766,125511,98027,512x714,365x512,367x512,OK,OK,OK,0.877,0.901,0.909,OK,PASS
BS2023015135,부르르룸 ex,sv3_ja-135,sv3-224,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV3/SV3_135.png?w=512,https://images.scrydex.com/pokemon/sv3_ja-135/medium,https://images.scrydex.com/pokemon/sv3-224/medium,200,200,200,image/png,image/png,image/png,921295,147675,130291,512x714,365x512,367x512,OK,OK,OK,0.962,0.947,0.962,OK,PASS
BS2023020079,타부자고 ex,sv3a_ja-79,sv4-231,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV3a/SV3a_079.png?w=512,https://images.scrydex.com/pokemon/sv3a_ja-79/medium,https://images.scrydex.com/pokemon/sv4-231/medium,200,200,200,image/png,image/png,image/png,708760,134000,95158,512x714,365x512,367x512,OK,OK,OK,0.955,0.932,0.941,OK,PASS
