product_id,name,series_name,language
PRD_F8EBFB3CDA14402EB238,소드&실드 「패밀리 포켓몬 카드 게임」,"",KO
PRD_5E8B023110534D0093FC,소드 & 실드 확장팩 「퓨전아츠」,소드 & 실드,KO
PRD_33E5BAD6AE5E47BC840A,소드&실드 「25th ANNIVERSARY GOLDEN BOX」,"",KO
PRD_86CB08E319C24F4E9766,소드&실드 확장팩 「25th ANNIVERSARY COLLECTION」,소드&실드,KO
PRD_0CA550AE29994C5BB239,소드&실드 스페셜 카드 세트 「자시안 V-UNION」,"",KO
PRD_A14FE6E5386847DB9CFF,소드&실드 프로모팩 제4탄,"",KO
PRD_583CA60BAC4F4FAFAB5F,소드&실드 스페셜 카드 세트 「뮤츠 V-UNION」,"",KO
PRD_02E7901E338F4737B6AB,드래곤 포켓몬 V GET 챌린지 프로모 카드 팩,"",KO
PRD_3AD5C945B465480BA36C,소드 & 실드 확장팩 「창공스트림」,소드 & 실드,KO
PRD_BCB8045CC957488BB992,소드&실드 확장팩 「마천퍼펙트」,소드&실드,KO
PRD_BD7FA21EB0B4407086A0,소드&실드 강화 확장팩 「이브이 히어로즈」,소드&실드,KO
PRD_83E04A9A71A74A88AB44,소드&실드 확장팩 「백은의 랜스」,소드&실드,KO
PRD_90076E812D7E43D3BAD2,소드&실드 VMAX 스페셜 세트 「이브이 히어로즈」,"",KO
PRD_190A8D559A8C4E25B470,"스티커 컬러링 포켓몬스터 1,2 부록","",KO
PRD_37915DB0FD7C4A46BDB6,"「극장판 포켓몬스터 : 정글의 아이, 코코」 극장선물","",KO
PRD_375BFA4E178E47FBBA60,소드&실드 하이클레스 덱 더블 BOX 「팬텀 VMAX&인텔리레온 VMAX」,"",KO
PRD_32D7A4AA30CC4602A83F,포켓몬 카드 게임 카드샵 구입 특전,"",KO
PRD_CD1BD0B10DB94B39AF0B,소드 & 실드 하이클래스 덱 「인텔리레온 VMAX 」,"",KO
PRD_4C239B3E5F8242FDB0E0,소드 & 실드 하이클래스 덱 「팬텀 VMAX 」,"",KO
PRD_5152EBDC54E740B89050,소드&실드 「백은의 랜스&칠흑의 가이스트」 BOX,"",KO
PRD_C79D813FEDCC46AA9F23,포켓몬 팝업스토어 in 스타필드 코엑스몰점 구입특전,"",KO
PRD_474214F630EE4681BB4F,포켓몬 카드 게임 온라인 공식 인증샵 구입특전,"",KO
PRD_9ACB5EDE4CA94A0493A2,소드&실드 강화 확장팩 「쌍벽의 파이터」,소드&실드,KO
PRD_AD7B5C4F802F4D64BE90,소드&실드 확장팩 「연격마스터」,소드&실드,KO
PRD_FDDAB6E1AF8D49E6A224,소드&실드 확장팩 「일격마스터」,소드&실드,KO
PRD_F23E88CA5E1341E4833E,소드&실드 카드 박스 세트 「연격」,"",KO
PRD_8FE112C269324090A9E3,소드&실드 카드 박스 세트 「일격」,"",KO
PRD_7B67599CADAE43418B01,소드&실드 스페셜 점보 카드 세트 「연격마스터」,"",KO
PRD_632B640F8A0E45F3B150,소드&실드 스페셜 점보 카드 세트 「일격마스터」,"",KO
PRD_2EF440C0B237474E8DB3,소드&실드 스타터 세트 VMAX 「거북왕」,"",KO
PRD_A2E044A218904C098DB6,스타터 세트 VMAX 구입특전,"",KO
PRD_7BDB316BBFFB488099B7,소드&실드 스타터 세트 VMAX 「이상해꽃」,"",KO
PRD_595A32AA23664B6ABD92,소드&실드 하이클래스팩 「샤이니스타 V」,소드&실드,KO
PRD_685E0110EC0E462299D2,소드&실드 컬렉션 세트 「샤이니스타 V」,"",KO
PRD_DA8331A4704A44B6957D,피카피카! 피카츄! 프로모팩,"",KO
PRD_54235F60186849AB8D4D,소드&실드 「VMAX 스페셜 세트」,"",KO
PRD_7BC8C696B679423294DB,소드&실드 프로모팩 제3탄,"",KO
PRD_32C23D5FA71F45ADB572,소드&실드 확장팩 「앙천의 볼트태클」,소드&실드,KO
PRD_9FB39A358D474F2A800E,소드&실드 확장팩 세트 V,소드&실드,KO
PRD_FE54F67A9C114773A9CD,소드&실드 강화 확장팩 「전설의 고동」,소드&실드,KO
PRD_EF2D36098270467A869D,극장판 포켓몬스터 「뮤츠의 역습 EVOLUTION」 극장선물,"",KO
PRD_2277C057AF3D44A5A842,포켓몬 카드 게임 BW 「30장 덱 대전 set 뮤츠VS게노세크트」,"",KO
PRD_601F313743EC4EA3A09A,무한존 프로모션팩,"",KO
PRD_91D480C53D3248F79831,소드&실드 확장팩 「무한존」,소드&실드,KO
PRD_9C4063C50B5B45C09FF9,소드&실드 강화 확장팩 「폭염워커」,소드&실드,KO
