card_id,card_name,rarity,collection_number,snkrdunk_apparel_id,scrydex_raw_krw,scrydex_psa10_krw,scrydex_psa9_krw,raw_to_psa10_ratio,raw_to_psa9_ratio,psa10_to_psa9_ratio,psa10_to_raw_ratio,psa9_to_raw_ratio,snk_A_basis,snk_selected_A_krw,snk_A_n,scrydex_raw_to_snk_A_ratio,ladder_violation,action_status,notes,replacement_confidence,floor_suspect
CRD_26B8AD9FA6554601A3B7,뮤츠 GX,SSR,219/150,91294,120921,867204,205963,0.139,0.587,4.21,7.17,1.7,A_1M,329175,8,0.367,SNK_DIVERGENCE_LOW,REPLACE_WITH_SNK_A,,STRONG_REPLACE,
CRD_26CD880191FC48B2BE27,벨의 진심,SR,090/071,186246,4502,64509,23195,0.07,0.194,2.781,14.33,5.15,A_1M,9500,2,0.474,RAW_STALE_LOW;SNK_DIVERGENCE_LOW,REVIEW_SNK_THIN,,REVIEW_REPLACE,Y
CRD_274BA225B19844028DDF,총지엔 ex,UR,355/190,164707,5209,42889,26618,0.121,0.196,1.611,8.23,5.11,NONE,,0,,RAW_STALE_LOW,KEEP_SCRYDEX,,LADDER_INFO_ONLY,
CRD_274ED0D22EC54F229DAE,포켓몬 브리더,SR,077/072,91340,115221,317990,,0.362,,,2.76,,A_3M,237500,1,0.485,SNK_DIVERGENCE_LOW,REVIEW_SNK_THIN,,REVIEW_REPLACE,
CRD_2794B6F1FB74431BA82B,폭슬라이,S,281/190,,3273,16804,18348,0.195,0.178,0.916,5.13,5.61,NO_MAP,,0,,RAW_STALE_LOW,KEEP_SCRYDEX,,LADDER_INFO_ONLY,
CRD_27BABDECB2404E3D873F,리자몽 V,SR,102/100,96570,27749,200896,32047,0.138,0.866,6.269,7.24,1.15,A_1M,85500,11,0.325,SNK_DIVERGENCE_LOW,MAPPING_REVIEW,,MAPPING_REVIEW,
CRD_27CAC15F8DE54882AA0F,퍼퓨돈 ex,SR,096/078,110899,2474,34434,6528,0.072,0.379,5.275,13.92,2.64,NONE,,0,,RAW_STALE_LOW,KEEP_SCRYDEX,,LADDER_INFO_ONLY,
CRD_27D5FC7D18F54B668AE2,대왕끼리동,S,290/190,,1890,106726,,0.018,,,56.47,,NO_MAP,,0,,RAW_STALE_LOW,KEEP_SCRYDEX,,LADDER_INFO_ONLY,
CRD_27DC42C3D270417B9335,님피아 VMAX,RR,192/414,141087,6023,83943,31267,0.072,0.193,2.685,13.94,5.19,A_1M,17100,5,0.352,RAW_STALE_LOW;SNK_DIVERGENCE_LOW,REPLACE_WITH_SNK_A,,STRONG_REPLACE,
CRD_27F3781C418A41E795E5,규리,SR,057/052,91300,92189,233313,74922,0.395,1.23,3.114,2.53,0.81,A_1M,95000,2,0.97,RAW_OVER_PSA9,REVIEW_SNK_THIN,,KEEP,
