our_card_id,our_name,our_jp_ref,our_set_code,our_card_no,our_rarity,our_image_path,snkrdunk_id,snkrdunk_url,snkrdunk_title,snkrdunk_product_number,snkrdunk_image_url,snkrdunk_image_cache_path,text_match_card_id,scanner_top1_card_id,scanner_top1_name,scanner_top1_score,scanner_top5_json,match_status,confidence,source_set,notes
CRD_9F8E15C89ACC4214A5CF,히스이 포푸니크 V,swsh10p_ja-75,SWSH10P,075/067,SR,cards/CRD_9F8E15C89ACC4214A5CF_jp.png,,,,,,,,,,,[],SNK_ID_NOT_FOUND,LOW,SWSH10P,
CRD_9FA75D54C4294BA2BBBB,히스이 대검귀 VSTAR,swsh12a_ja-87,SWSH12A,087/172,RRR,cards/CRD_9FA75D54C4294BA2BBBB_jp.png,,,,,,,,,,,[],SNK_ID_NOT_FOUND,LOW,SWSH12A,
CRD_9FA8A518D9414469BEF9,단지래플 V,NO_JP,,042/414,RR,cards/CRD_9FA8A518D9414469BEF9_ko.png,,,,,,,,,,,[],SNK_ID_NOT_FOUND,LOW,,JP ref 없음(NO_JP)
CRD_9FAFB1939CF44F30ACE6,암멍이,swsh8b_ja-202,SWSH8B,202/184,CHR,cards/CRD_9FAFB1939CF44F30ACE6_jp.png,,,,,,,,,,,[],SNK_ID_NOT_FOUND,LOW,SWSH8B,
CRD_9FDDA5BA3EEF4352A0ED,메타그로스 V,swsh6k_ja-77,SWSH6K,077/070,SR,cards/CRD_9FDDA5BA3EEF4352A0ED_jp.png,,,,,,,,,,,[],SNK_ID_NOT_FOUND,LOW,SWSH6K,
CRD_9FE76C9CE7304920BC39,루나톤,swsh12a_ja-184,SWSH12A,184/172,AR,cards/CRD_9FE76C9CE7304920BC39_jp.png,,,,,,,,,,,[],SNK_ID_NOT_FOUND,LOW,SWSH12A,
CRD_A015A394F46844D180E4,케르디오 ex,sv11w_ja-161,SV11W,161/086,SR,cards/CRD_A015A394F46844D180E4_jp.png,,,,,,,,,,,[],SNK_ID_NOT_FOUND,LOW,SV11W,
CRD_A01A880A185C48ADAAAF,루카리오 ex,NO_JP,,009/023,RR,cards/CRD_A01A880A185C48ADAAAF_ko.png,,,,,,,,,,,[],SNK_ID_NOT_FOUND,LOW,,JP ref 없음(NO_JP)
CRD_A045FBD15C434CEA9670,리자몽 ex,sv3_ja-66,SV3,066/108,RR,cards/CRD_A045FBD15C434CEA9670_jp.png,,,,,,,,,,,[],SNK_ID_NOT_FOUND,LOW,SV3,
CRD_A04FE8D9C75D4F5EAF0C,히스이 블레이범 VSTAR,swsh9a_ja-29,SWSH9A,029/067,RRR,cards/CRD_A04FE8D9C75D4F5EAF0C_jp.png,,,,,,,,,,,[],SNK_ID_NOT_FOUND,LOW,SWSH9A,
CRD_A078581BD72D413189A8,피카츄 V,NO_JP,,001/024,RR,cards/CRD_A078581BD72D413189A8_ko.png,,,,,,,,,,,[],SNK_ID_NOT_FOUND,LOW,,JP ref 없음(NO_JP)
CRD_A0A34021C9D745B4A3EF,강석,sv4m_ja-85,SV4M,085/066,SR,cards/CRD_A0A34021C9D745B4A3EF_jp.png,,,,,,,,,,,[],SNK_ID_NOT_FOUND,LOW,SV4M,
CRD_A0B7FEC7EBCC30F32231005D7A76B620,카나자와 피카츄,swshp_ja-144,SWSHP,144/S-P,PR,cards/CRD_A0B7FEC7EBCC30F32231005D7A76B620_jp.png,,,,,,,,,,,[],SNK_ID_NOT_FOUND,LOW,SWSHP,
CRD_A0D58142340C4202B5FD,미모사,sv1v_ja-100,SV1V,098/078,SR,cards/CRD_A0D58142340C4202B5FD_jp.png,,,,,,,,,,,[],SNK_ID_NOT_FOUND,LOW,SV1V,
CRD_A0F533475FB645238571,이상해꽃&주리비얀 GX,sm11a_ja-66,SM11A,066/064,SR,cards/CRD_A0F533475FB645238571_jp.png,,,,,,,,,,,[],SNK_ID_NOT_FOUND,LOW,SM11A,
CRD_A10639DEF1044108891B,팬텀 EX,xy4_ja-33,XY4,048/131,RR,cards/CRD_A10639DEF1044108891B_jp.png,,,,,,,,,,,[],SNK_ID_NOT_FOUND,LOW,XY4,
CRD_A12119533B1C4A21B910,아쿠스타 BREAK,cp6_ja-30,CP6,032/100,RR,cards/CRD_A12119533B1C4A21B910_jp.png,,,,,,,,,,,[],SNK_ID_NOT_FOUND,LOW,CP6,
CRD_A126650873921A29A1AC79F0125D6C30,요코하마 피카츄 (282),smp_ja-282,SMP,282/SM-P,PR,cards/CRD_A126650873921A29A1AC79F0125D6C30_jp.png,,,,,,,,,,,[],SNK_ID_NOT_FOUND,LOW,SMP,
CRD_A12C9EE7BBA246C489B7,님피아 VMAX,swsh6a_ja-41,SWSH6A,041/069,RRR,cards/CRD_A12C9EE7BBA246C489B7_jp.png,,,,,,,,,,,[],SNK_ID_NOT_FOUND,LOW,SWSH6A,
CRD_A137B96810564A16B8DA,번치코 VMAX,swsh8b_ja-217,SWSH8B,217/184,CSR,cards/CRD_A137B96810564A16B8DA_jp.png,,,,,,,,,,,[],SNK_ID_NOT_FOUND,LOW,SWSH8B,
CRD_A180773A019F4C8BA2B4,드래펄트 V,swsh4a_ja-88,SWSH4A,088/190,RR,cards/CRD_A180773A019F4C8BA2B4_jp.png,,,,,,,,,,,[],SNK_ID_NOT_FOUND,LOW,SWSH4A,
CRD_A19E4A91ACD440ECBEF2,인텔리레온 VMAX,swsh1a_ja-81,SWSH1A,081/070,HR,cards/CRD_A19E4A91ACD440ECBEF2_jp.png,,,,,,,,,,,[],SNK_ID_NOT_FOUND,LOW,SWSH1A,
CRD_A1D8F84613574D488021,파비코리 GX,sm8b_ja-239,SM8B,239/150,SSR,cards/CRD_A1D8F84613574D488021_jp.png,,,,,,,,,,,[],SNK_ID_NOT_FOUND,LOW,SM8B,
CRD_A1ECFBA4CD8A42679127,또가스,sm11b_ja-56,SM11B,056/049,CHR,cards/CRD_A1ECFBA4CD8A42679127_jp.png,,,,,,,,,,,[],SNK_ID_NOT_FOUND,LOW,SM11B,
