our_card_id,our_name,our_jp_ref,our_rarity,snkrdunk_apparel_id,snkrdunk_product_number,snkrdunk_title,snkrdunk_image_url,rematch_rank,rematch_score,snk_set,snk_number,snk_rarity,set_number_check,rarity_check,name_check
CRD_CC95EE0439504360B961,글레이시아 GX,NO_JP,SM-P,338307,pkmn-tcg-SM5M-011,グレイシアGX RR [SM5M 011/066](拡張パック「ウルトラムーン」),https://cdn.snkrdunk.com/upload_bg_removed/pkmn-tcg-SM5M-011-yu.webp,5,3,SM5M,011/066,RR,DIFF,DIFF,OK
CRD_CC95EE0439504360B961,글레이시아 GX,NO_JP,SM-P,492955,pkmn-tcg-2004,グレイシアGX UR [141/138]【英語版】(サン&ムーン「ウルトラプリズム」),https://cdn.snkrdunk.com/upload_bg_removed/pkmn-tcg-en-UP-141-ot.webp,6,3,,,UR,DIFF,DIFF,OK
CRD_CC95EE0439504360B961,글레이시아 GX,NO_JP,SM-P,492969,pkmn-tcg-2004,グレイシアGX RR [159/138]【英語版】(サン&ムーン「ウルトラプリズム」),https://cdn.snkrdunk.com/upload_bg_removed/pkmn-tcg-en-UP-159-ot.webp,7,3,,,RR,DIFF,DIFF,OK
CRD_CC95EE0439504360B961,글레이시아 GX,NO_JP,SM-P,106294,pkmn-tcg-XY-020,グレイシアEX [XY-BEST 020/171](ハイクラスパック「THE BEST OF XY」),https://cdn.snkrdunk.com/upload_bg_removed/20221208040057-0.webp,8,1,,,,DIFF,DIFF,DIFF
CRD_66B86CAACE834BA39882,자마젠타 V,NO_JP,RR,105540,pkmn-tcg-2874,ザマゼンタV RR[s12a 103/172](ハイクラスパック「VSTARユニバース」),https://cdn.snkrdunk.com/upload_bg_removed/20221201140639-0.webp,1,4,s12a,103/172,RR,DIFF,OK,OK
CRD_66B86CAACE834BA39882,자마젠타 V,NO_JP,RR,113236,pkmn-tcg-1550,ザマゼンタV RR[S1H 044/060](拡張パック「シールド」),https://cdn.snkrdunk.com/upload_bg_removed/20230215053532-4.webp,2,4,S1H,044/060,RR,DIFF,OK,OK
CRD_66B86CAACE834BA39882,자마젠타 V,NO_JP,RR,141146,pkmn-tcg-S8b-118,ザマゼンタV RR[s8b 118/184](ハイクラスパック「VMAXクライマックス」),https://cdn.snkrdunk.com/upload_bg_removed/TCG-PKG-S8b-1705.webp,3,4,s8b,118/184,RR,DIFF,OK,OK
CRD_66B86CAACE834BA39882,자마젠타 V,NO_JP,RR,141441,pkmn-tcg-S8a-019,ザマゼンタV RR[s8a 019/028](拡張パック「25th アニバーサリーコレクション」),https://cdn.snkrdunk.com/upload_bg_removed/TCG-PKG-S8a-1451.webp,4,4,s8a,019/028,RR,DIFF,OK,OK
CRD_66B86CAACE834BA39882,자마젠타 V,NO_JP,RR,144569,pkmn-tcg-S4a-139,ザマゼンタV RR[s4a 139/190](ハイクラスパック「シャイニースターV」),https://cdn.snkrdunk.com/upload_bg_removed/TCG-PKG-S4a-9823.webp,5,4,s4a,139/190,RR,DIFF,OK,OK
CRD_66B86CAACE834BA39882,자마젠타 V,NO_JP,RR,96564,pkmn-tcg-1550,ザマゼンタV UR[S1H 073/060](拡張パック「シールド」),https://cdn.snkrdunk.com/upload_bg_removed/20220915042615-0.webp,6,3,S1H,073/060,UR,DIFF,DIFF,OK
