card_id,card_name,snkrdunk_apparel_id,usedMinPrice,usedListingCount,A1m_n,A1m_med,A1m_latest,A3m_n,A3m_med,A3m_latest,PSA10_1m_n,PSA10_1m_med,PSA10_3m_n,PSA10_3m_med,PSA9_1m_n,PSA9_1m_med,PSA9_3m_n,PSA9_3m_med,data_quality
CRD_E6D7C7AE46B14C2281ED,아고용&악식킹 GX,339684,10980,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A_NO_PTS
CRD_ECCB9F6BE6FB45019BF9,강철톤,664101,1000,43,0,0,0,0,0,0,20,6800,43,6766,0,0,3,2522,PSA_ONLY
CRD_9E348E7E435B4E658CB9,라티오스,358113,1199,37,4,2700,2800,18,2500,2800,18,11999,62,11343,2,4395,10,3240,A_1M_OK
CRD_DD17001A86F04AFDAF09,단지래플,372326,1600,5,0,0,0,0,0,0,3,6500,12,6500,0,0,0,0,PSA_ONLY
CRD_9622567E2CAF46A69C92,애프룡,372325,1000,7,0,0,0,0,0,0,6,6800,13,6800,0,0,1,2300,PSA_ONLY
CRD_EE3B2C43337E4C148163,드라세나,377385,1000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A_NO_PTS
CRD_D25814429FF94A7E84C3,블랙큐레무 ex,378062,1000,8,1,2000,2000,1,2000,2000,0,0,1,9200,1,3800,1,3800,A_1M_OK
CRD_E7A9269390E346AA93B3,플라이곤 GX,339629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A_NO_PTS
CRD_761F112811784F3C9B5A,제빈,379012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A_NO_PTS
CRD_F6AA26615B634D2BA71A,비브라바,379011,1000,6,0,0,0,0,0,0,4,6807,8,6800,0,0,0,0,PSA_ONLY
CRD_8E8635B273814CB28F1B,브리두라스 ex,379014,1100,9,1,1700,1700,1,1700,1700,0,0,3,8900,0,0,0,0,A_1M_OK
CRD_FD350229536F48219366,비비용,410059,1100,6,0,0,0,1,1000,1000,5,6900,14,6600,1,2999,1,2999,A_3M_FB
CRD_80AC3B98336D4FD0B14A,워글,380940,1500,9,0,0,0,0,0,0,2,6850,7,6700,0,0,1,2799,PSA_ONLY
CRD_E92B2532AE914FB09891,치갈기,380939,1000,6,0,0,0,0,0,0,4,6683,9,6499,0,0,0,0,PSA_ONLY
CRD_8D68F827F9B2481DA5FB,루카리오 EX,390313,1000,3,0,0,0,0,0,0,0,0,2,16349,0,0,0,0,PSA_ONLY
CRD_B7FFD1C826FF4A6FA025,큐레무 EX,385407,5000,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A_NO_PTS
