snkrdunk_product_number,set_norm,number,rarity,snkrdunk_title,used_listing_count,snkrdunk_apparel_id,snkrdunk_image_url,falsematch_our_card_id,falsematch_our_name,falsematch_score,action
pkmn-tcg-M-P-019,MP,19,,クワッス P [M-P 019](プロモカードパック「マクドナルド ハッピーセット2025」),26,671485,https://cdn.snkrdunk.com/upload_bg_removed/pkmn-tcg-M-P-019-of.webp,,,,ADD_CANDIDATE
pkmn-tcg-SM-P-211,SMP,211,,桜アフロのピカチュウ: プロモ[SM-P 211](プロモーションカード「SM-P」),25,91251,https://cdn.snkrdunk.com/upload_bg_removed/20240617063510-0.webp,,,,ADD_CANDIDATE
pkmn-tcg-SM-P-291,SMP,291,,ピカチュウ: プロモ[SM-P 291](プロモーションカード「SM-P」),25,93081,https://cdn.snkrdunk.com/upload_bg_removed/20240812092922-5.webp,CRD_7EBB72125E6E436B8589,피카츄,0.8153,ADD_CANDIDATE
pkmn-tcg-XY-P-DRKPPC-037,XYPDRKPPC,37,,ダークライ P [XY-P 037](プロモーションカード「幻のポケモン ダークライのオリジナルキラカードプレゼントキャンペーン」),25,411694,https://cdn.snkrdunk.com/upload_bg_removed/pkmn-tcg-7314576-yu.webp,,,,ADD_CANDIDATE
pkmn-tcg-BW-P-0030-115,BWP0030,115,,ブラッキー P [BW-P 115/BW-P](プロモーションカード「ダークラッシュキャンペーンパック」),25,415472,https://cdn.snkrdunk.com/upload_bg_removed/pkmn-tcg-7314397-yu.webp,,,,ADD_CANDIDATE
pkmn-tcg-M-P-070,MP,70,,ヤドン P [M-P 070](ポケモンカードゲームMEGA「プロモカードパック 第3弾」),25,757134,https://cdn.snkrdunk.com/upload_bg_removed/pkmn-tcg-2026-01-30-001-of.webp,CRD_494E55E7C59E4B6DA4E3,야도란 EX,0.6421,ADD_CANDIDATE
pkmn-tcg-SM-P-286,SMP,286,,コダック ムンク展: プロモ[286 SM-P](プロモーションカード「SM-P」),23,100091,https://cdn.snkrdunk.com/upload_bg_removed/20221018030304-0.webp,,,,ADD_CANDIDATE
pkmn-tcg-SM-P-108,SMP,108,,ピカチュウ P :ミラー [SM-P 108](ポケモンカードジム「夏フェス2017 参加賞」),23,253253,https://cdn.snkrdunk.com/upload_bg_removed/20240421065557-0.webp,CRD_8D798C34EC514D40851D,피카츄,0.851,ADD_CANDIDATE
pkmn-tcg-SM-P-393,SMP,393,,ピカチュウGX: プロモ[SM-P 393](プロモーションカード「SM-P」),22,93069,https://cdn.snkrdunk.com/upload_bg_removed/20230628052555-0.webp,CRD_F2B2E546E51145C0BB3F,피카츄 V,0.7148,ADD_CANDIDATE
pkmn-tcg-IDN-SV-P-154,IDNSVP,154,,バティックシャツを着たピカチュウ (ネイティオ柄) P [SV-P 154]【インドネシア語版】(ピカチュウのインドネシアジャーニー),21,708758,https://cdn.snkrdunk.com/upload_bg_removed/pkmn-tcg-IDN-SV-P-154-of.webp,,,,ADD_CANDIDATE
