CRD_08BB039F0F51499BA059,PSA10,278431,193659,28
CRD_08BB039F0F51499BA059,PSA9,64553,60531,28
CRD_08BB039F0F51499BA059,RAW,26535,25321,28
CRD_08D8EFD7132A4E838F53,PSA10,35677,35504,29
CRD_08D8EFD7132A4E838F53,RAW,1552,1567,29
CRD_08E2001528D84351A367,PSA10,52548,52292,29
CRD_08E2001528D84351A367,PSA9,26873,26743,29
CRD_08E2001528D84351A367,RAW,1106,1152,29
CRD_090216855FE241EFB18B,PSA10,659334,698966,30
CRD_090216855FE241EFB18B,PSA9,267255,265958,30
CRD_090216855FE241EFB18B,RAW,274707,271573,30
CRD_0902F4E6CC9047A98559,PSA10,345280,369286,29
CRD_0902F4E6CC9047A98559,PSA9,119655,84815,29
CRD_0902F4E6CC9047A98559,RAW,50596,50596,29
CRD_090C5C6FE6B34BC0A9E7,PSA10,230509,230628,30
CRD_090C5C6FE6B34BC0A9E7,PSA9,32333,32146,30
CRD_090C5C6FE6B34BC0A9E7,RAW,36522,36522,30
CRD_0913C93AC0DD43E58008,PSA10,79857,78867,29
CRD_0913C93AC0DD43E58008,PSA9,30521,27486,29
CRD_0913C93AC0DD43E58008,RAW,9342,8727,29
CRD_0916BCC640C24E4088BB,PSA10,100363,97665,29
CRD_0916BCC640C24E4088BB,PSA9,28179,14556,29
CRD_0916BCC640C24E4088BB,RAW,15288,15227,29
CRD_091DC06176614517B5E1,PSA10,1956236,1769546,26
CRD_091DC06176614517B5E1,PSA9,555836,551219,26
CRD_091DC06176614517B5E1,RAW,345693,345693,29
CRD_092D58F7609842FEA757,PSA10,49214,49456,29
CRD_092D58F7609842FEA757,PSA9,22748,22666,29
CRD_092D58F7609842FEA757,RAW,3303,3257,29
CRD_093AB925F0C14BB1BFF6,PSA10,1179717,1290237,29
CRD_093AB925F0C14BB1BFF6,PSA9,469297,467161,29
CRD_093AB925F0C14BB1BFF6,RAW,568498,568498,29
CRD_093C06DA9ACB4816A395,PSA10,91083,90724,29
CRD_093C06DA9ACB4816A395,PSA9,27334,16942,29
CRD_093C06DA9ACB4816A395,RAW,9449,8389,29
CRD_093F671F8D0F4F349B81,PSA10,104408,103780,28
CRD_093F671F8D0F4F349B81,PSA9,37571,37170,28
CRD_093F671F8D0F4F349B81,RAW,3472,3465,28
CRD_0947A2BADF48F0637F4B,PSA10,53254,53144,8
