card_id,name,rarity,num,jp_ref,en_ref,selected_source,ko_current,selected_raw_krw,coef_current,en_raw,jp_raw,snk_raw,snk_n,jp_p10,jp_p9,snk_p10,snk_p9,scry_ladder,snk_ladder,pricing_mode,jp_coef,jp_coef_scope,ko_via_jp,ko_via_snk,mult_jp,mult_snk,selection_bug_raw,underpriced_by_jp,underpriced_by_snk,coef_missing,actionable,category
CRD_2893BDF7C7674E7A8E66,게치스플라스마단,SR,055/051,bw8s_ja-55,bw9-115,EN,12131,121305,0.100000,120744,646000,0,0,850764,157412,1216000,0,PSA10 > RAW > PSA9,PSA10,COEF,0.388629,RARITY,251054,,20.7,,True,True,False,False,True,UNDERPRICED
CRD_C7C3982EEEB34C529318,킹드라 EX,SR,085/078,xy10_ja-85,xy10-122,EN,3932,29255,0.134400,29119,209000,0,0,489968,122934,646000,285000,PSA10 > RAW > PSA9,PSA10 > PSA9,COEF,0.388629,RARITY,81223,,20.7,,True,True,False,False,True,UNDERPRICED
CRD_3D033F417C70493F8472,종이신도,S,193/150,sm8b_ja-193,sma-SV33,EN,1702,5301,0.321100,5276,30714,0,0,0,0,0,0,RAW,,COEF,1.12,RARITY,34400,,20.2,,True,True,False,False,True,UNDERPRICED
CRD_0596431CCC63469EA0C3,블래키 GX,SR,063/060,sm1m_ja-63,sm1-142,EN,13436,79974,0.168000,79974,665000,522500,1,1003076,277749,1180375,484500,PSA10 > RAW > PSA9,PSA10 > RAW > PSA9,COEF,0.388629,RARITY,258438,203059,19.2,15.1,True,True,True,False,True,UNDERPRICED
CRD_9A22F928864948BBAE25,마오,SR,055/050,sm2l_ja-55,sm2-145,EN,8655,51518,0.168000,51518,115236,427500,2,493901,224848,1045000,313500,PSA10 > PSA9 > RAW,PSA10 > RAW > PSA9,COEF,0.388629,RARITY,44784,166139,5.2,19.2,True,True,True,False,True,UNDERPRICED
CRD_950D0856241946C48A38,후딘 EX,SR,080/078,xy10_ja-80,xy10-117,EN,5939,44189,0.134400,43985,285000,0,0,766704,104753,560500,0,PSA10 > RAW > PSA9,PSA10,COEF,0.388629,RARITY,110759,,18.6,,True,True,False,False,True,UNDERPRICED
CRD_C1608F37F71B44D08013,M뮤츠 EX,SR,063/059,xy8r_ja-63,xy8-160,EN,29889,222390,0.134400,222322,1425000,0,0,1894787,0,2508000,759990,PSA10 > RAW,PSA10 > PSA9,COEF,0.388629,RARITY,553796,,18.5,,True,True,False,False,True,UNDERPRICED
CRD_FFF8E815F394423595FC,라이츄 GX,SR,074/072,sm3p_ja-74,smp-SM90,EN,2628,15641,0.168000,15569,123500,0,0,122596,0,0,0,RAW > PSA10,,COEF,0.388629,RARITY,47996,,18.3,,True,True,False,False,True,UNDERPRICED
CRD_4681609374F6454994EB,루티아,SR,102/096,sm7_ja-104,sm7-164,EN,49623,295373,0.168000,295373,2280000,0,0,2615796,0,2679000,1472500,PSA10 > RAW,PSA10 > PSA9,COEF,0.388629,RARITY,886074,,17.9,,True,True,False,False,True,UNDERPRICED
CRD_4F9A907B588C4D71ADBF,민진,SR,088/078,xy6_ja-89,xy6-107,EN,3709,27595,0.134400,27467,171000,0,0,426327,169781,182875,0,PSA10 > RAW > PSA9,PSA10,COEF,0.388629,RARITY,66456,,17.9,,True,True,False,False,True,UNDERPRICED
