card_id,name,rarity,collection_number,jp_ref,en_ref,ko_price,selected_source,coef_key,coef_value,en_raw_krw,true_raw_estimate_krw,estimate_basis,under_x,severity,snk_raw_krw,snk_n,snk_psa10_krw,jp_raw_krw,jp_psa10_krw,jp_psa9_krw,ladder_broken,blind_spot_low62,en_fallback,snk_quality
CRD_A6337035E8634701BFAB,피카츄,SM-P,136/SM-P,smp_ja-249,smp-SM234,14436,EN,en_GLOBAL,0.321100,44957,342000,SNK_RAW(n7),23.7,CRITICAL,342000,7,776616,104500,838430,159905,,Y,Y,SNK_CONFIRMED
CRD_CD013DC1D5D04AC8B637,에브이 EX,SR,084/080,xy9_ja-84,xy9-117,15091,EN,en_XY_SR,0.134400,112286,353400,PSA10x0.15,23.4,CRITICAL,0,0,2356000,0,2355188,0,,Y,Y,NO_SNK
CRD_D8668F914B2643658274,주즈베&담죽맨,SR,200/173,sm12a_ja-194,NO_EN,5904,JP,jp_SM_SR,0.078400,75303,137750,SNK_RAW(n1),23.3,CRITICAL,137750,1,137750,74012,148453,71040,RAW_OVER_PSA9,,,SNK_THIN
CRD_0FFEF15EE9E045CABE6F,연격 우라오스 VMAX,HR,084/070,swsh5r_ja-84,swsh5-170,42578,EN,en_HR,0.357800,119000,950000,SCRYDEX_JP_RAW,22.3,CRITICAL,0,0,940500,950000,705383,0,RAW_OVER_PSA10,Y,Y,NO_SNK
CRD_97550D8F6FD846C1809E,블루의 탐색,SR,062/054,sm9b_ja-61,sm10-209,12046,JP,jp_SM_SR,0.078400,153648,266000,SNK_RAW(n1),22.1,CRITICAL,266000,1,573562,153648,558486,159665,,,,SNK_THIN
CRD_44A1BB145FB243139F1C,흑마 버드렉스 VMAX,HR,086/070,swsh6k_ja-86,swsh6-205,38818,EN,en_HR,0.357800,108491,855000,SNK_RAW(n1),22.0,CRITICAL,855000,1,1021250,430199,715857,458584,,,Y,SNK_THIN
CRD_CEE20BD28DB542FEB5E3,야돈&고라파덕 GX,SR,095/094,sm11_ja-95,sm11-217,8356,JP,jp_SM_SR,0.078400,106586,184062,SNK_RAW(n5),22.0,CRITICAL,184062,5,674500,101638,429716,72491,RAW_OVER_PSA9,,,SNK_CONFIRMED
CRD_1123601A6CCD4FB19606,뮤 EX,SR,051/050,bw5s_ja-51,bw6-120,65071,EN,en_BW_SR,0.100000,650715,1425000,SCRYDEX_JP_RAW,21.9,CRITICAL,0,0,7916664,1425000,4587060,1147789,RAW_OVER_PSA9,Y,Y,NO_SNK
CRD_24798C163B48423E9689,루티아의 어필,SAR,090/064,sv7a_ja-91,sv8-246,10923,EN,en_SAR,0.223700,48829,235600,SNK_RAW(n15),21.6,CRITICAL,235600,15,399000,119938,333842,106084,RAW_OVER_PSA9,,Y,SNK_CONFIRMED
CRD_4CCBCECB375543B99CEB,아크로마플라스마단,SR,075/070,bw7_ja-75,bw8-135,14956,EN,en_BW_SR,0.100000,149561,323000,SCRYDEX_JP_RAW,21.6,CRITICAL,0,0,332500,323000,458706,0,,Y,Y,NO_SNK
