card_id,name,rarity,officialCode,scrydexRef,vector_count
CRD_2FF2C290CEC24037998E,잠만보,P,PR2010001006,,5
CRD_D5A5E687475744ADA96D,포켓몬 레인저,SR,BS2016006058,xy11f_ja-58,15
CRD_CADB1C5818544FB5B778,카푸느지느 GX,RR,BS2017007018,sm2p_ja-18,15
CRD_C47E6671988646BCAD4F,비크티니 VMAX,RR,BS2022003060,swsh5r_ja-13,15
CRD_8B768628A6D94B36A09E,제르네아스 GX,RR,BS2018004064,sm6_ja-64,15
CRD_E609CB11D57D43498DC2,보통의 낚싯대,UR,,swsh1w_ja-74,10
CRD_CFA60465B36641B2A61C,무쇠잎새 ex,RR,BS2024005016,sv5m_ja-16,15
CRD_D27858FC55F84A75A2A1,게노세크트 ex,RR,BS2025015119,m2a_ja-119,15
CRD_256D36224E6D4A35B851,게을킹 ex,RR,BS2024017084,sv8_ja-84,15
CRD_69F20A87F80D4A23B10A,붐볼,H,BS2010010016,dp6_ja-29,20
CRD_109480BC27AA456C8F0A,언페어 스탬프,ACE,BS2026001648,sv5a_ja-53,15
CRD_2344B9016C984A769B60,찬란한 리자몽,K,BS2023017001,sv3_ja-1,10
CRD_DBE60BCF0CB84E448F6C,포켓몬 회수 사이클론,ACE,BS2024019150,sv8a_ja-149,15
CRD_54A3A02E1DEC4EE28F63,하이퍼 아로마,ACE,BS2026001672,sv5a_ja-55,15
CRD_81B0111FE0FD481DAE40,폭타 EX,RR,BS2015001021,xy5g_ja-21,20
CRD_B8DC656D0C164A59AFE5,파치래곤 VMAX,RR,BS2022003161,swsh5a_ja-24,15
CRD_5755CDBD721C45AAAA77,스쿠프업 넷,UR,,swsh2_ja-114,10
CRD_F4CC4CC6C54B4E6CBDB6,뉴트럴센터,ACE,BS2024019180,sv8a_ja-184,15
CRD_E070290089C64D9A8C5E,팬텀 EX,RR,BS2014004033,xy4_ja-33,20
CRD_7C3F1B3FC98A43A5AA7B,활력의 숲,SR,BS2026002110,m3_ja-109,10
CRD_64EF736C47ED416EBCDC,리부트 포드,ACE,BS2026001641,sv5m_ja-63,15
CRD_50C4C79B8F9E40C4AACE,키키링 ex,RR,BS2024005042,sv5m_ja-42,15
CRD_2FA7702340274C86BD77,루기아,P,PR2010001001,,5
CRD_4583AB8ED6FA4D708BCF,포켓몬 교체,SR,BS2025014101,m2_ja-102,15
CRD_11E5855A9F524525AA5F,눈설왕,H,BS2010009011,dp6_ja-22,20
CRD_41D1F28F42D347728ACE,드래펄트 ex,RR,BS2024019120,sv8a_ja-120,15
CRD_C1EE0F5059B0492891CF,코라이돈 ex,RR,BS2024002012,sv5-120,10
CRD_0D7B809C988C42A38D29,오거폰 벽록의 가면 ex,RR,BS2025015017,m2a_ja-17,15
CRD_4D18BFC7F599413EAEA8,카푸꼬꼬꼭 VMAX,RR,BS2022003150,swsh5i_ja-18,15
CRD_D007E7F93971437096EF,조타구 ex,RR,BS2024011036,sv6a_ja-36,15
CRD_1D6D6DE622BA464F8C11,풀페이스 가드,UR,,swsh7d_ja-88,10
CRD_44A07860884B4309B507,다투곰 붉은 달 ex,RR,BS2024007052,sv5a_ja-52,15
CRD_B823EBE80D4142778B2C,호브의 자시안 ex,RR,BS2025001069,sv9_ja-69,15
CRD_830A3D5CBD854645BE1F,에브이 ex,RR,BS2024019063,sv8a_ja-63,15
CRD_AA9BCA8E74A84FD68B18,큐레무 ex,RR,BS2025007031,sv11b_ja-31,15
CRD_B1C9A994B8384FB3A883,강철톤,H,BS2010003043,dp6_ja-69,20
CRD_E310D2D65D884471AB15,흑마 버드렉스 V,RR,BS2022003203,swsh6k_ja-36,5
CRD_FF6AA6F478F64AB18BEA,가라르 파이어 V,RR,BS2021003045,swsh5a_ja-45,15
CRD_599F1CA9849C4F27A6F6,언페어 스탬프,ACE,BS2024007055,sv5a_ja-53,15
CRD_405BADC8018046369711,대로트 BREAK,RR,BS2016001047,xy9_ja-47,20
CRD_454451F04D6E4577B3FC,마기라스 V,RR,BS2021001046,swsh5i_ja-46,15
CRD_5D9BEDD95F3F4EDDAF4B,빅 참,UR,,swsh1a_ja-85,10
CRD_2D7B2839BEFB48088F54,보울마을,UR,BS2023015140,sv3_ja-140,15
CRD_C309796AE0E045ECB8D1,신오신전,UR,BS2022008087,swsh10p_ja-87,15
CRD_19ADD55CF6CB4100BB29,칼라마네로 EX,RR,BS2014004057,xy4_ja-57,20
CRD_81313FC015A644C9A3BE,모야모의 찌리배리 ex,RR,BS2025015057,m2a_ja-57,15
CRD_815E4C56E23F40C380E6,루가루암 VMAX,RR,BS2022003235,swsh7d_ja-25,15
CRD_86FC87CEE4C84C5BAAC6,M루카리오 EX,RR,BS2014003053,xy3_ja-53,20
CRD_F49F952E7CF2455C9B6E,팬텀 V,RR,BS2021008001,swsh8-156,10
CRD_1BAFDD6380BB4440AF73,찬란한 전지충이,,BS2023001039,swsh12a_ja-39,10
CRD_4E2B82591E6842DFB0EB,찬란한 히스이 포푸니크,K,BS2022011084,swsh10a_ja-49,10
CRD_2C9A82E1F15F4AABA7DB,무한다이노 V,RR,BS2020011064,swsh3_ja-64,15
CRD_37AB901988844FF8AD6B,뮤츠,H,BS2010010019,dp4m_ja-181,20
CRD_BDE2CA096C7649D19FD4,위대한 거목,ACE,BS2024012101,sv7_ja-101,15
CRD_37E37047B5F64CA1A487,알로라레트라 GX,SM-P,SMP0000000087,smp_ja-161,15
CRD_764B4B9354884B2D992F,아이앤트 ex,RR,BS2024017003,sv8_ja-3,15
CRD_A5F25924018C43CC8092,펄스멍 V,RR,BS2021018034,swsh8_ja-34,15
CRD_6529864137874B18A906,마나피 EX,RR,BS2016001021,xy9_ja-21,20
CRD_C86B5C97C2914B7B85CA,에레키블,H,BS2010002021,dp1_ja-147,20
CRD_92E7896FBFB64A868380,두랄루돈 V,RR,BS2021011048,swsh7d_ja-48,15
CRD_F866A81D344E4C3BA245,아머까오 VMAX,RR,BS2022003310,swsh5r_ja-56,15
CRD_6CFCA0F0830045C481AA,메탈 소서,UR,,swsh1h_ja-75,10
CRD_AA89D833168646D0AE10,후파 EX,RR,BS2015008012,cp2_ja-12,15
CRD_D7686A2B1F5E439EBB04,삼삼드래 EX,RR,BS201707099,xy6_ja-50,15
CRD_4F20B1287335476CA680,개굴닌자 BREAK,RR,BS2016001030,xy9_ja-30,20
CRD_1EF313E489B444599067,뮤츠 GX,RR,BS2018011036,sm3p_ja-40,15
CRD_002C9C197A444C3DB695,리자몽 GX,RR,BS2017008011,sm3h_ja-11,15
CRD_EFC847F197CA4F9EBD52,몰드류 ex,RR,BS2025007049,sv11b_ja-49,15
CRD_FBEDA5391D0C4078BFB0,포켓몬 회수 사이클론,ACE,BS2026001667,sv6_ja-93,15
CRD_CE9034508C4344F38B91,카디나르마 ex,RR,BS2024006011,svp-105,10
CRD_D4A2792848114DE49FC6,기라티나,P,PR2010001010,,5
CRD_A41ACD45084E4E8DB54D,가라르 프리져 V,RR,BS2021003025,swsh5a_ja-25,15
CRD_6E769B7F889C42018273,글레이시아 VMAX,RRR,BS2021007025,swsh6a_ja-25,15
CRD_2F9974E2F1DC498CB81F,루가루암 GX,RR,BS2018011056,sm2p_ja-34,15
CRD_78E5DA336CD0436C9170,네오라이트 V,RR,BS2023009008,swsh9_ja-30,15
CRD_8B7A966BC8FE43738606,에브이,H,BS2010005022,dp4d_ja-163,20
CRD_DD00D2AE5AAE433DB11B,메가니움,H,BS2010006003,dp2_ja-185,20
CRD_C8E8E766B251446185D5,낚싯대MAX,ACE,BS2024019139,sv8a_ja-142,15
CRD_6F213AF9BEDC4F81AAE1,번치코 V,RR,BS2022001019,swsh8b_ja-19,15
CRD_07824DDE2E3B4D4FAD14,에이스번 ex,RR,BS2024012018,sv7_ja-18,15
CRD_42F629B8A71E4DEBB5D5,찬란한 개굴닌자,K,BS2024002006,,5
CRD_5B1E7755901746CEAA32,수정 동굴,UR,,swsh7d_ja-89,10
CRD_547A995302794791994C,묘두기 ex,RR,BS2024006036,svp-162,5
CRD_1B3C44801C4A4FD287FD,다크라이 ex,RR,BS2026001456,svp-110,5
CRD_40E51E9FC86B483B9246,밀로틱 ex,RR,BS2024017026,sv8_ja-26,15
CRD_BFF0F8FC415E469DAEE9,플라이곤,H,BS2010003030,dp3_ja-383,20
CRD_F66CA9A913CE43108274,꿰뚫는화염 ex,RR,BS2024004012,sv5k_ja-12,15
CRD_4A5D12AC03DD4224B309,님피아 GX,RR,BS2018011073,sm1p_ja-40,15
CRD_719D41E4711F4E498397,가디안 EX,SR,BS2015002075,xy5t_ja-75,20
CRD_BAC4C11B4560476A863B,렌트라 ex,RR,BS2024008041,sv6_ja-41,15
CRD_F838D8557ADB465EA321,기로치 ex,RR,BS2025002002,sv9_ja-2,10
CRD_6D035E3171254B20BE96,찬란한 개굴닌자,K,BS2024010003,,5
CRD_FD62873FBC9D4EB08441,다크패치,UR,BS2022011147,swsh10a_ja-98,15
CRD_2DB2CCB0E28C46C6937D,토이 캐처,UR,,swsh7r_ja-88,10
CRD_60C70570B40E4735B531,맘모꾸리 ex,RR,BS2025001046,sv9_ja-46,15
CRD_914D2654639D4B34851E,후파 EX,RR,BS2016004064,xy7_ja-36,15
