psid,cid,name,rar,setn,col,cstat,price,app_ko,gap,td,nvjp,risk,flagk,flagwhy,score,title,url,review_status
33e74411fa6243589552588e032daaf0,CRD_69525AAF5E3C4C99AB79,난천의 한카리아스 ex,SAR,스칼렛&바이올렛 강화 확장팩 「열풍의 아레나」,087/063,RAW,71000,55686,1.28,2026-05-14,0.23,,CLEAN,,3,(05/14 마감) 난천의 한카리아스 sar,https://cafe.naver.com/cardmvk/556230,
211fa2ef8ff94d77bb4c2ba5405e86dd,CRD_0400517F2E89441EAC81,거북왕 ex,SAR,스칼렛&바이올렛 강화 확장팩 「포켓몬 카드 151」,202/165,RAW,70000,83787,0.84,2026-06-11,0.31,,CLEAN,,3,(6/11 마감) 151 거북왕 sar,https://cafe.naver.com/cardmvk/628050,
fb186ae546214aa1b7b72292c949301b,CRD_9C2FBC6E628A43679527,명희의 격려,SAR,MEGA 확장팩 「니힐제로」,115/080,RAW,70000,73392,0.95,2026-05-16,0.47,,CLEAN,,3,(5/16 마감) M3 명희의 격려 SAR 경매,https://cafe.naver.com/cardmvk/560103,
3637af805dbd4e6c84abcaf5a55b6922,CRD_CBD74C6D3997478C92A5,릴리에의 삐삐 ex,SAR,스칼렛&바이올렛 확장팩 「배틀파트너즈」,126/100,RAW,66000,70040,0.94,2026-05-22,0.35,,CLEAN,,3,(5/22 마감) 한판 릴리에의 삐삐 SAR 싱글카드 sv9,https://cafe.naver.com/cardmvk/577275,
f4bdc2cb15d34cda985ae538feee9717,CRD_053F45EBABE44DD09C9B,잉어킹,AR,포켓몬 카드 게임 스칼렛&바이올렛 강화 확장팩 「트리플렛비트」,080/073,RAW,65000,45190,1.44,2026-05-16,0.25,,CLEAN,,3,(5/16 마감) 잉어킹 AR A-급,https://cafe.naver.com/cardmvk/560049,
18b063f9ab1d46ad90f76d42965f9f5c,CRD_B28E6145CF994B09905F,로켓단의 파이어 ex,SAR,스칼렛&바이올렛 확장팩 「로켓단의 영광」,124/098,RAW,65000,48360,1.34,2026-05-16,0.49,,CLEAN,,3,(5/16마감) 루카리오 파이어 sar 등급용 싱글 경매,https://cafe.naver.com/cardmvk/561197,
6bf4a917b0184864909751334a02204a,CRD_27DD36DAE86F45C69DEB,메가가디안 ex,SAR,MEGA 확장팩 「메가심포니아」,087/063,RAW,65000,77362,0.84,2026-05-16,0.31,,CLEAN,,3,(5/16 마감) 열풍/ 메가가디안 SAR 등급용 경매,https://cafe.naver.com/cardmvk/562261,
b83ea4d39c7a40abace5830399e9c6de,CRD_89F870261BCE4E9C87D5,릴리에의 결심,SAR,MEGA 확장팩 「메가브레이브」,090/063,RAW,65000,82176,0.79,2026-05-22,0.27,,CLEAN,,3,(05/22 마감) 릴리에의 결심 sar 싱글,https://cafe.naver.com/cardmvk/577663,
debc40d60e8d482d9d2186ab247311a4,CRD_9C2FBC6E628A43679527,명희의 격려,SAR,MEGA 확장팩 「니힐제로」,115/080,RAW,64000,73392,0.87,2026-06-05,0.43,,CLEAN,,3,(6/5마감) 명희의 격려 sar 경매,https://cafe.naver.com/cardmvk/612735,
2ae97e37f0934d7aaf312ff442d02085,CRD_EFFAAF3652A343819720,이슬&칸나,SR,썬&문 하이클래스팩 「TAG TEAM GX 태그올스타즈」,198/173,RAW,63000,46172,1.36,2026-05-22,0.11,,CLEAN,,3,(5/22마감)태그팀 이슬&칸나 SR특일,https://cafe.naver.com/cardmvk/577936,
