psid,cid,name,rar,setn,col,cstat,price,app_ko,gap,td,nvjp,risk,flagk,flagwhy,score,title,url,review_status
567913c9c9024a18a718293cf0be086d,CRD_B249F6023816421B9E82,로켓단의 비주기,SAR,스칼렛&바이올렛 확장팩 「로켓단의 영광」,128/098,GRADED,14000,11881,1.18,2026-04-22,0.43,,DIRTY,graded,0,,,SOURCE_EVIDENCE_MISSING
f590df5695554047b000ca6b502c266b,CRD_00182F81CA884726A6BB,로켓단의 뮤츠 ex,SR,스칼렛&바이올렛 확장팩 「로켓단의 영광」,114/098,RAW,14000,10283,1.36,2026-05-07,0.5,,REVIEW,,0,,,SOURCE_EVIDENCE_MISSING
370c834328ea491581a9ff4a365c4a80,CRD_6BAEC561FD824CA68028,메가리자몽X ex,MA,MEGA 하이클래스팩 「MEGA 드림 ex」,223/193,RAW,14000,15609,0.9,2026-04-28,0.2,,REVIEW,,0,,,SOURCE_EVIDENCE_MISSING
6ed4da91b1cd4a4191d28c6d479b6383,CRD_B18DDE8C20D645DDA16E,페퍼의 마피티프 ex,SAR,스칼렛&바이올렛 강화 확장팩 「열풍의 아레나」,088/063,RAW,14000,11742,1.19,2026-05-07,0.46,,REVIEW,,0,,,SOURCE_EVIDENCE_MISSING
3ea940b52e3f4b73b8aa15e65cc328a0,CRD_983678B45AB8425590AC,루기아 VSTAR,UR,소드 & 실드 확장팩 「패러다임트리거」,123/098,RAW,14000,14886,0.94,2026-05-04,0.43,,REVIEW,,0,,,SOURCE_EVIDENCE_MISSING
58899998bc244993bcf2cd761927ec97,CRD_CBD74C6D3997478C92A5,릴리에의 삐삐 ex,SAR,스칼렛&바이올렛 확장팩 「배틀파트너즈」,126/100,RAW,14000,70040,0.2,2026-05-10,0.07,,REVIEW,,2,,,NEEDS_MANUAL_SOURCE
b8a4deaa8d2842d8baebf57e5eb2ef3e,CRD_3867F42D081F475AB07C,민진의 헤아림,SAR,MEGA 확장팩 「메가심포니아」,090/063,RAW,13000,7282,1.79,2026-04-19,0.66,,REVIEW,,2,,,NEEDS_MANUAL_SOURCE
0f5c6612b0334e28ad744f93b1b7febf,CRD_3C062CAF599948F7BA44,난천의 패기,SAR,소드&실드 하이클래스팩 「VSTAR 유니버스」,236/172,RAW,13000,17627,0.74,2026-04-28,0.27,JP_SUSPECT,REVIEW,,3,,,NEEDS_MANUAL_SOURCE
ccc84a54c41e483ead1b376a7010800f,CRD_190E3B946C714D6CBFCD,샤로다 ex,SAR,스칼렛&바이올렛 확장팩 「블랙볼트」,167/086,RAW,13000,20762,0.63,2026-04-28,0.23,,REVIEW,,0,,,SOURCE_EVIDENCE_MISSING
77a65ccd2fb94f81ac0df0d13bcadf76,CRD_157F33DF43A34D268793,두빅굴,AR,스칼렛&바이올렛 확장팩 「블랙볼트」,109/086,RAW,13000,30487,0.43,2026-05-11,0.12,,REVIEW,,2,,,NEEDS_MANUAL_SOURCE
0b954ba57cf64bed8f624bb843960701,CRD_7EA3BC62F30E405FADC5,메로엣타 ex,SAR,스칼렛&바이올렛 확장팩 「블랙볼트」,170/086,RAW,13000,14197,0.92,2026-04-26,0.34,,REVIEW,,0,,,SOURCE_EVIDENCE_MISSING
9a048fa4268143ccb227b392ba56cfdc,CRD_F9792A29F11F4A35AF80,릴리에의 에리본,AR,스칼렛&바이올렛 확장팩 「배틀파트너즈」,105/100,RAW,13000,1884,6.9,2026-05-09,2.61,,DIRTY,koGtJp,2,,,NEEDS_MANUAL_SOURCE
e1bb6acbd54046c3b30f9228eea51a41,CRD_E8813064F21A409D8BEF,탱그릴,AR,스칼렛&바이올렛 확장팩 「화이트플레어」,124/086,GRADED,12000,4333,2.77,2026-05-07,1.03,,DIRTY,graded|koGtJp,2,,,NEEDS_MANUAL_SOURCE
65f20bd9000749e9a72d4c47e0fff960,CRD_71B943080D4E4023A1B4,피카츄 ex,UR,스칼렛&바이올렛 확장팩 「초전브레이커」,136/106,RAW,12000,39661,0.3,2026-05-09,0.14,,REVIEW,,2,,,NEEDS_MANUAL_SOURCE
709509320f154c0c8a6dfb4ef017ba8b,CRD_E5E93E5E67D8453083FA,라우드본 ex,SAR,포켓몬 카드 게임 스칼렛&바이올렛 강화 확장팩 「트리플렛비트」,097/073,RAW,12000,25633,0.47,2026-05-09,0.17,,REVIEW,,2,,,NEEDS_MANUAL_SOURCE
2e55f07fc2bf4f6cb6baf18cc466c15f,CRD_298C5CE24A9343B9AF00,N의 조로아크 ex,UR,스칼렛&바이올렛 확장팩 「배틀파트너즈」,131/100,RAW,12000,8918,1.35,2026-05-10,0.61,,REVIEW,,0,,,SOURCE_EVIDENCE_MISSING
8ba5c1bb85474bbdaa727b662e0c99c7,CRD_1752B1022AD74CC0AF24,모미,SR,소드&실드 확장팩 「연격마스터」,080/070,RAW,12000,10973,1.09,2026-05-10,0.21,JP_SUSPECT,REVIEW,,3,,,NEEDS_MANUAL_SOURCE
8900d8e93c714c82bd1dfe827586e4c3,CRD_0FAEC0B6410647398E22,메가아쿠스타 ex,SAR,MEGA 확장팩 「니힐제로」,111/080,RAW,12000,9023,1.33,2026-05-07,0.23,,REVIEW,,0,,,SOURCE_EVIDENCE_MISSING
58b8d6b5719c4da1982018ef5dc0e2c7,CRD_B92DA5CF55D0468FB12E,아꾸왁,AR,포켓몬 카드 게임 스칼렛&바이올렛 강화 확장팩 「트리플렛비트」,082/073,RAW,12000,5686,2.11,2026-05-02,3.13,,DIRTY,koGtJp,2,,,NEEDS_MANUAL_SOURCE
7ff7a416bbad431e9be3925d8c6acd44,CRD_A55C953959164A8EBF09,히스이 윈디,CHR,소드&실드 강화 확장팩 「다크판타스마」,075/071,GRADED,12000,6000,2.0,2026-04-27,1.95,,DIRTY,graded|koGtJp,2,,,NEEDS_MANUAL_SOURCE
a1d9a145ccfb4e0c95c30005625605f0,CRD_A6609DDDF77E43BEBF21,심향의 모험,SAR,스칼렛&바이올렛 강화 확장팩 「열풍의 아레나」,089/063,RAW,12000,23228,0.52,2026-05-08,0.19,,REVIEW,,0,,,SOURCE_EVIDENCE_MISSING
1c26fdc309984ca6b6c6313b7eb75d3c,CRD_B44585853A93C37F791B552F69C70AA6,맥도날드 피카츄,PR,일본 독점 프로모,020/MP,RAW,12000,58175,0.21,2026-04-24,0.21,,REVIEW,,2,,,NEEDS_MANUAL_SOURCE
38822e3ae8e746a9853beabb30a54ad3,CRD_78304A223D8C4A2EAD04,심향의 블레이범,AR,스칼렛&바이올렛 강화 확장팩 「열풍의 아레나」,070/063,RAW,12000,18482,0.65,2026-05-04,0.56,,REVIEW,,0,,,SOURCE_EVIDENCE_MISSING
d2922432922c4f9592320909ebe6e0ec,CRD_9813FECD47C44526AC0E,찬란한 거북왕,K,소드&실드 강화 확장팩 「Pokémon GO」,018/071,GRADED,12000,5626,2.13,2026-04-25,0.86,,DIRTY,graded,2,,,NEEDS_MANUAL_SOURCE
912444dd08dc48af9fa551962723f919,CRD_CFC16E65EBC1462AB99A,에브이&테오키스 GX,RR,썬&문 스타터 세트 TAG TEAM GX 「에브이&테오키스 GX」,001/031,RAW,11000,12455,0.88,2026-05-13,,,REVIEW,,0,,,SOURCE_EVIDENCE_MISSING
0572358b8ef14298ba81def91da7d5e4,CRD_3ED9185116C84CE4B8E5,찬란한 이브이,K,소드&실드 강화 확장팩 「Pokémon GO」,055/071,GRADED,11000,9201,1.2,2026-04-25,0.45,,DIRTY,graded,0,,,SOURCE_EVIDENCE_MISSING
ff257e6ec5364e079db0151258f293e3,CRD_604492DE52EA4B7F81F6,메가캥카 ex,SAR,MEGA 확장팩 「메가심포니아」,089/063,RAW,11000,24369,0.45,2026-05-06,0.25,,REVIEW,,2,,,NEEDS_MANUAL_SOURCE
2f12f0a220d34a498846d3c7e7a91b51,CRD_123A0C58771F4B76BBFE,아강의 비장의카드,SR,XY 확장팩 제5탄 「타이달스톰」,077/070,RAW,11000,14240,0.77,2026-04-24,,LADDER_BLIND,REVIEW,,3,,,NEEDS_MANUAL_SOURCE
ec998dc8f97041eb8d0922a67077755e,CRD_FDBA381E42DC4D1BAE86,레지기가스 VSTAR,SAR,소드&실드 하이클래스팩 「VSTAR 유니버스」,233/172,RAW,11000,8563,1.28,2026-04-26,0.47,,REVIEW,,0,,,SOURCE_EVIDENCE_MISSING
115d510112b741ebb8d1bc801de458c1,CRD_A0D58142340C4202B5FD,미모사,SR,포켓몬 카드 게임 스칼렛&바이올렛 확장팩 「바이올렛 ex」,098/078,GRADED,11000,4817,2.28,2026-04-23,0.55,JP_SUSPECT,DIRTY,graded,5,,,NEEDS_MANUAL_SOURCE
bc5aeb52b7404775b996a598a32b302d,CRD_6434F1BE098C4F98B481,보스의 지령(게치스),SAR,포켓몬 카드 게임 스칼렛&바이올렛 강화 확장팩 「트리플렛비트」,099/073,RAW,11000,9476,1.16,2026-04-26,0.44,JP_SUSPECT,REVIEW,,3,,,NEEDS_MANUAL_SOURCE
